label,text
0,lol you missed now i sweaty stinky covered chopped grass bit
0,have fry breakfast could
0,going ot bed hopefully waking early hopefully getting macbook sunday
0,hmmm sounds like might time start
1,it secret i struggled depression anxiety i lot better i i still bad days if handle bad days make seem like i awful person emotion fear i control deserv
0,thanks great dinners i wish i every else twitter nam
0,now i really dont wan na look deep i sensing kind sarcastic mother fucking ton
1,is electroconvulsive therapy miracle cure depress
0,pelosi minor truth problem compared cheney bush cant sweep rug alreadi
0,aeyy thanks hun following expected would thanks head
1,just gon na stay bed till class depression really fucking suck
1,buzzfeeds top 5 millenial pickuplines 5 unghhh
1,anxiety told meto keep movingbut mindwill stopworrying weepinglosing breathi could think straight depressioncrept i disinterestedto live confusedand tiredlike restless skythat keepschanging clouds day night
1,depression villainous st
1,2016 playoffs go i issues depression i ashamed ashamed tim
1,started one chester still lots my favourite band time depress
1,depression nap incoming gn
1,third year finally gone school finally done for the summer hello amazing mental health goodbye depress
1,yes girl handle shit you depression depress
1,need friend k jb main us se naraaz houn wo khana chor de mari mari phire depression main chli jae aur dp b remove kr l
1,physical activity incident depression a meta analysis prospective cohort studies engaging physical activity decreases people chance developing depress
0,goodmorningg demi even tho 7 26 pm
0,thriving ivory song twilight twilight
1,it sad realize depression true friend
1,his power making think one nobody ever talked shame depress
1,local girl discovers that spending money won save her from almost midnight depress
1,major cause harm brain development resulting vulnerability risk development problems including anxiety depression violence trauma
1,start recognising read phrase requires balances budget relation constitution really reading requires guaranteed economic depression following every economic contraction because stimulus measures stop economy 1 2
1,normal feeling like postpartum depression jst emosh feeling worri
1,doc treat depression po and fight
0,i think bionic i think beautiful i think beyond hi aj
0,glad ur feeling bit better sending u love cus u got ta b better nxt month c u xox
0,yeyyyy mom coming homee
0,philly cool ny tho u def need pass thru
0,flatttt well room flat signing agreement tomorrow coming stayyy
1,lol i nervous i 100 know i gon na rejected reading words gon na give good ol depress
1,i feel like ever since trump got elected depression 1000
0,ohh yesss move 2 105 indianpad com
0,mmhmmm keeps forgetting update sucker meeee lolz work listening whatta man
0,got ta love sam i hope cute little bar like i get hous
1,how brought personality may make feel like paranoid normal thing may get depress
1,i literally suffer depression hair don
1,but still together bersyukur gile sebab dia faham kita bila kita mula stress study even dia penat kerja dia still sabar something make happy depression go far away thanky
1,fix sleep schedule start eating healthy get physically fit beat depression stop procrastinating learn taxes get mentally strong enough make phone calls bitch
0,i love she amazin my favourite singer i only realised shes so cool
1,physical activity incident depression a meta analysis prospective cohort studies american journal psychiatry vol 0 no 0
0,dads town two days 5 weeks 3 day im 20
1,depress
0,that makes wonder many games theres years how many play that certainly looks like kiefers gam
1,i envy artists use depression bolster work i crumple weight min
1,i enough god damn bad days good weeks i living matter 5 years spend 5 minutes i so depression shit taking charg
0,please please please tom please say hi
1,depression drug
0,mom made sxsw cowboy hat shot new desktop now 2 pix house 926 103 897 niec
0,2 pairs earrings that wonderful leo shoppers obviously great tast
0,ooh thats lucky i homemade sushi tonight soo good what
1,aims help caregivers identify perinat
1,thank lisa writing excellent article including links iapt site bad skinsupport site is acne causing depression via
0,lol i free realms beta wel
0,for reason another i feel i maybe seen somewhere hope good night thanks follow
1,mannnnn people knew i struggled depression i exercise way release bad
1,a big part depression feeling really lonely even room full million peopl
1,what things get depressed abt i bad anxiety still recovering my peak depression mostly highschool years beca
1,sope aumin yoongi blind man passion music after accident dropped university entered critical state depression he expect someone name jung hoseok capable bringing colour back world
1,depression is real people it not easy to overcome a lot of thing but you have to push through it
1,dhc help experiencing depression anxiety stress dhc offer free nhs 1 1 therapy person phone group sessions courses workshop check call 01483 906392 info self ref
1,depression big issue always check friend
1,went hospital today hiv checkup all good meds still working really pleased i missed single dose after refusing take ages good back virus control
0,camo check ammo belt check army boots check parrot pirate hat erm check installing bf hero
0,jarelbo good morning hows fine day xx
0,weather playing nice weekend it hot right temp sitting pool side sipping drink
0,watchin tha hills right thank god dvr
1,keep thinking depression gone comes back
1,lmao weather mad indecisive tho alllll depression fully pres
1,okay one trying tell anyone anything depression mental illness told us mouth depressed therefore suffers mental illness i think reading deep initial tweets someth
1,i know depression often control words fix know matter your art amazing picture warm caring arms holding expecting nothing back supporting low time huggggg
1,lmao someone come slap depression pls n thx
0,girl good relaxing getting ready watch one life to l
1,you guys you listen download original soundtrack album the bateman lectures on depression right bandcamp it even little depress
1,as game 7 begins i going get real second this challenging year life as many know i struggle anxiety depression daily while prior medication heavy lexapro proplanolol i forgot funct
1,depression pain hole nothing going distinctly wrong life still want fuck tall build
1,ok fake hell envy wakin pool blood see b4 meet w ling ed best guess fuckinf depression meltdown nap gluttony juice went find alive human aka ling n 
0,sleep new job starts tomorrow i played sims 3 almost day and i loved every minut
0,wan na say hello new twitts followers feel free get contact dnt scar
1,suffering chronic depress
0,your legit enough ha and amazing many people want sell stuff like ebay stalk
0,azi tai spre casa bucuresti plecat home com
1,it took two hours go grocery shopping i energy left drive home i live publix i guess
1,radio today said running helped girl depression im abt strap on my trainers and run to college every morn
1,x2018 i mental health illness called depression basically means i sad lot hard get bett
1,hypnotherapy panic attacks cardiff
0,well tell something know
1,i need bandaids depress
0,art oh wow enjoy xxxx
0,goodnight long day need rest start tomorrow weekend shift til manana sweet dream
1,something always gets like i currently forced go therapy depression i serious illness sick depressing but doctors treat grief like intrustive thought medicated away
0,at movies trying decide movie se
